Argument,BRISK,FAST,FREAK,GFTT,MSER,ORB,SIFT,STAR,SURF,
0.25,0,0.00684932,0.6,0,0,0.0666667,0.0377358,NULL,0,
0.35,0.00970874,0.0097493,0.603448,0.012987,0.0454545,0.238532,0.018018,0,0,
0.45,0.0191083,0.0169946,0.525547,0.0314286,0.057971,0.401515,0.0291262,0.025,0.0132275,
0.55,0.0769231,0.0409889,0.656827,0.0719603,0.0795455,0.564626,0.0443686,0.0595238,0.049904,
0.65,0.142857,0.116623,0.633867,0.232614,0.201681,0.692833,0.111369,0.165217,0.112466,
0.75,0.355932,0.294686,0.682274,0.470455,0.364286,0.759197,0.323283,0.460606,0.294858,
0.85,0.514368,0.657293,0.744654,0.821799,0.672043,0.856322,0.703003,0.713004,0.62092,
0.95,0.620773,0.912267,0.904902,0.969317,0.876712,0.857542,0.896356,0.911184,0.880907,
1.05,0.669663,0.912233,0.916737,0.979536,0.862903,0.865753,0.863429,0.908257,0.910256,
1.15,0.573009,0.68518,0.76843,0.856049,0.751037,0.858006,0.674326,0.72093,0.684822,
1.25,0.40281,0.377381,0.68323,0.633394,0.577778,0.797619,0.417011,0.507407,0.428571