Argument,BRISK,FAST,FREAK,MSER,ORB,STAR,
-50,0.95935,0.978839,0.908055,0.993007,0.928382,0.96732,
-40,0.974638,0.989658,0.960725,0.996753,0.980861,0.987988,
-30,0.993209,0.994386,0.986648,1,0.988987,0.991477,
-20,0.995185,0.998931,0.995327,1,0.993711,1,
-10,1,1,1,1,0.997959,1,
0,1,1,1,1,1,1,
10,1,1,0.998025,1,0.995859,1,
20,0.995253,0.99858,0.991204,1,0.997812,1,
30,0.995122,0.997635,0.981625,0.996815,0.983982,0.991525,
40,0.991482,0.994016,0.96468,0.996667,0.957547,0.988166,
50,0.982394,0.988343,0.952672,0.992933,0.925641,0.969512,