Argument,BRISK-10,BRISK-20,BRISK-30,BRISK-40,BRISK-50,BRISK-60,BRISK-70,BRISK-80,BRISK-90,FAST-10,FAST-20,FAST-30,FAST-40,FAST-50,FAST-60,FAST-70,FAST-80,FAST-90,FREAK-2300,FREAK-2600,FREAK-2900,FREAK-3200,FREAK-3500,FREAK-3800,FREAK-4100,FREAK-4400,FREAK-4700,MSER-12,MSER-15,MSER-18,MSER-21,MSER-24,MSER-27,MSER-3,MSER-6,MSER-9,ORB-10,ORB-12,ORB-14,ORB-16,ORB-18,ORB-2,ORB-4,ORB-6,ORB-8,SIFT-10,SIFT-20,SIFT-30,SIFT-40,SIFT-50,SIFT-60,SIFT-70,SIFT-80,SIFT-90,STAR-10,STAR-20,STAR-30,STAR-40,STAR-50,STAR-60,STAR-70,STAR-80,STAR-90,SURF-1000,SURF-1200,SURF-1400,SURF-1600,SURF-1800,SURF-200,SURF-400,SURF-600,SURF-800
0.25,0,0,0,0,0,0,0,0,0,0.00684932,0.00442478,0.00552486,0.00694444,0.0194175,0.0113636,0.015625,0.02,0.0263158,0.969697,0.97549,0.972376,0.962025,0.958621,0.962963,0.959677,0.963303,0.971154,0,0,0,0,0,0.333333,0,0,0,0,0,0.2,0.2,0.142857,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0
0.35,0.00775194,0.00847458,0.00970874,0.0119048,0,0,0.0175439,0.0232558,0.0285714,0.0097493,0.0117188,0.00833333,0.00729927,0.00985222,0.0136986,0.00826446,0.0224719,0.047619,0.976923,0.97807,0.995098,0.988764,0.987421,0.993197,0.992537,0.983051,0.982456,0.0666667,0.0769231,0,0.222222,0,0.333333,0,0.030303,0,0.25,0.333333,0.5,0.428571,0.444444,NULL,0,0,0,0,0,0,0,0,0.0526316,0.0434783,0.0416667,0.0740741,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,0.0117647,0.025974,0.0422535,0.0441176,0.00595238,0.0149254,0.0173913,0.02
0.45,0.0192308,0.011236,0.0191083,0.0215827,0.017094,0.02,0.0235294,0.0277778,0.0350877,0.0169946,0.0178571,0.0230326,0.0243902,0.0361011,0.0471698,0.0559006,0.0333333,0.0322581,0.992832,0.991837,1,0.994652,0.994152,0.993671,0.993243,1,1,0.0333333,0.0740741,0.157895,0,0.125,0,0.0217391,0.030303,0.0454545,0.666667,0.5,0.555556,0.5,0.5,NULL,0,0.333333,0.666667,0,0,0.0909091,0.0625,0.0588235,0.047619,0.0384615,0,0,0.0240964,0.0105263,0.0307692,0.025,0,0,NULL,NULL,NULL,0.0387097,0.0359712,0.0384615,0.0327869,0.0357143,0.0174216,0.0294118,0.0341463,0.032967
0.55,0.0569395,0.0590717,0.0769231,0.0795455,0.0931677,0.112782,0.142857,0.175258,0.189873,0.0409889,0.055794,0.0568356,0.0615711,0.0734463,0.0798479,0.095,0.105263,0.0991736,1,1,1,1,1,1,1,1,1,0.1,0.121212,0.181818,0.111111,0.0909091,0.3,0.0819672,0.111111,0.117647,0.5,0.5,0.666667,0.7,0.636364,0,0.333333,0.666667,0.75,0,0.1,0.0769231,0.111111,0.0952381,0.0869565,0.111111,0.133333,0.0909091,0.101695,0.0629371,0.0517241,0.0595238,0.0571429,0.0571429,0,0,0,0.0610329,0.0618557,0.0508475,0.0493827,0.0526316,0.0585242,0.069697,0.0701754,0.0650406
0.65,0.120219,0.124161,0.142292,0.147619,0.152174,0.172185,0.14876,0.157407,0.154639,0.116623,0.131897,0.166446,0.184644,0.190709,0.233216,0.271028,0.254335,0.272059,1,1,1,1,1,1,1,1,1,0.153846,0.25,0.185185,0.15,0.214286,0.428571,0.18705,0.234234,0.211268,0.8,0.666667,0.7,0.727273,0.666667,0,0.5,0.333333,0.5,0,0.111111,0.153846,0.25,0.2,0.25,0.259259,0.290323,0.242424,0.210084,0.14375,0.147887,0.165217,0.166667,0.166667,0,0,0,0.172043,0.178988,0.195556,0.199029,0.207254,0.115456,0.14554,0.15,0.15655
0.75,0.258907,0.315186,0.358108,0.394422,0.390698,0.436782,0.452703,0.468254,0.471698,0.294686,0.325859,0.390519,0.435352,0.451327,0.495468,0.511811,0.51269,0.551948,1,1,1,1,1,1,1,1,1,0.454545,0.5,0.59375,0.571429,0.611111,0.642857,0.359116,0.355372,0.453488,0.857143,0.857143,0.888889,0.777778,0.75,1,0.666667,1,0.666667,0.25,0.666667,0.428571,0.5,0.52381,0.56,0.607143,0.606061,0.526316,0.453416,0.485437,0.481481,0.460606,0.475728,0.475728,0.463415,0.463415,0.463415,0.432133,0.442073,0.453925,0.453237,0.454902,0.336245,0.378136,0.38983,0.426829
0.85,0.447674,0.457471,0.512894,0.530822,0.585366,0.615385,0.659459,0.668874,0.721804,0.657293,0.715821,0.76588,0.819948,0.833333,0.8523,0.86901,0.889362,0.872222,1,1,1,1,1,1,1,1,1,0.792683,0.807018,0.847826,0.740741,0.666667,0.8,0.685714,0.732484,0.75,0.833333,0.875,0.888889,0.888889,0.9,1,1,1,0.8,0.25,0.666667,0.714286,0.789474,0.75,0.862069,0.911765,0.894737,0.904762,0.794521,0.763636,0.757813,0.713004,0.727273,0.727273,0.642857,0.642857,0.642857,0.70339,0.733021,0.738462,0.739011,0.748485,0.639821,0.680614,0.704248,0.712946
0.95,0.547945,0.59375,0.619277,0.656338,0.686667,0.70751,0.742718,0.748503,0.758621,0.912267,0.928839,0.955957,0.957219,0.968516,0.956,0.961749,0.953069,0.962963,0.996454,1,1,1,1,1,1,1,1,0.882979,0.884058,0.851064,0.794118,0.958333,0.888889,0.828283,0.885417,0.826772,0.833333,1,1,1,1,0.5,0.5,0.666667,0.5,0.75,0.9,0.933333,1,1,1,1,1,0.9375,0.941176,0.948787,0.93314,0.911184,0.915612,0.915612,0.878571,0.878571,0.878571,0.937605,0.939671,0.94683,0.943478,0.943396,0.891003,0.922574,0.928941,0.947526
1.05,0.573394,0.622889,0.665169,0.683924,0.694006,0.702381,0.722222,0.761111,0.785714,0.912233,0.934297,0.947838,0.969605,0.959479,0.961771,0.96144,0.968966,0.976636,0.98524,0.983264,0.985148,0.988764,0.99359,0.985915,0.985075,0.991803,0.99115,0.847826,0.878378,0.894737,0.852941,0.821429,0.866667,0.840361,0.883178,0.8125,0.625,0.777778,0.888889,0.818182,0.727273,1,0.666667,0.75,0.6,0.5,0.888889,1,0.954545,0.958333,0.933333,0.918919,0.951219,0.93617,0.961415,0.946565,0.945799,0.908257,0.930502,0.930502,0.939759,0.939759,0.939759,0.949309,0.952055,0.953358,0.951318,0.956427,0.918258,0.927734,0.933255,0.946867
1.15,0.472429,0.516854,0.569536,0.612022,0.650327,0.626459,0.630841,0.647399,0.655172,0.68518,0.753922,0.795903,0.832207,0.867299,0.864301,0.873239,0.902878,0.893939,0.992248,0.986957,0.984375,0.993976,0.986207,0.992701,0.976378,0.99115,0.990741,0.771739,0.828571,0.86,0.852941,0.769231,0.761905,0.71885,0.770408,0.789474,0.625,0.666667,0.7,0.7,0.5,0,1,1,0.571429,0.5,0.888889,0.8125,0.826087,0.84,0.866667,0.828571,0.85,0.886364,0.826855,0.780899,0.731928,0.72093,0.715481,0.715481,0.658228,0.658228,0.658228,0.785235,0.788104,0.805274,0.807018,0.818616,0.677419,0.712607,0.732143,0.755224
1.25,0.289433,0.336634,0.40281,0.430986,0.475083,0.443548,0.497537,0.538462,0.572414,0.377381,0.429766,0.505727,0.567917,0.636528,0.683673,0.6633,0.696581,0.725714,0.983471,0.96729,0.967568,0.955696,0.950355,0.952756,0.957627,0.95283,0.960396,0.568182,0.650794,0.659574,0.676471,0.5,0.789474,0.512028,0.529412,0.616,0.571429,0.75,0.666667,0.666667,0.6,0,0.666667,0.75,0.8,0.333333,1,0.909091,0.833333,0.809524,0.814815,0.8,0.764706,0.75,0.587549,0.521084,0.504886,0.507407,0.5,0.5,0.476821,0.476821,0.476821,0.538053,0.56213,0.571121,0.589744,0.588972,0.43898,0.470998,0.504121,0.526899
